Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1728.1119
FDW14,OUT017,1510.9602
NCN55,OUT010,608.22736
FDQ58,OUT017,2605.5244
FDY38,OUT027,6170.724
FDH56,OUT046,1931.9634
FDL48,OUT018,504.25656
FDC48,OUT027,2270.986
FDN33,OUT045,1551.292
FDA36,OUT017,3131.5159
FDT44,OUT017,1931.3065
FDQ56,OUT045,1364.5598
NCC54,OUT019,586.1847
FDU11,OUT049,1969.4945
DRL59,OUT013,829.80444
FDM24,OUT049,2476.881
FDI57,OUT045,3242.1052
DRC12,OUT018,2878.3738
NCM42,OUT027,2899.592
FDA46,OUT010,455.5777
FDA31,OUT013,3091.138
NCJ31,OUT035,3992.1372
FDG52,OUT046,743.6399
NCL19,OUT019,368.65894
FDS10,OUT035,3054.2952
FDX22,OUT010,570.2041
NCF19,OUT035,851.01227
NCE06,OUT046,2668.1252
DRC27,OUT046,3233.9001
FDE21,OUT035,1991.5969
NCR42,OUT019,94.866356
FDX51,OUT018,2982.5635
NCR06,OUT018,419.72855
FDU31,OUT027,5754.219
FDU59,OUT017,2726.9883
FDR03,OUT027,5434.0376
FDS49,OUT027,2192.444
FDD48,OUT010,241.22131
NCF18,OUT017,3171.8123
NCD43,OUT027,2744.5405
NCD54,OUT018,2072.0686
FDY19,OUT010,270.53314
NCY54,OUT017,2863.6963
NCL19,OUT018,2119.6504
FDP23,OUT010,478.88492
FDC26,OUT013,1953.1926
FDR14,OUT010,101.06017
NCS41,OUT035,3111.7295
FDF41,OUT035,4150.0405
FDU34,OUT046,2030.0455
DRH11,OUT046,912.48474
FDM03,OUT013,1804.6588
FDS31,OUT017,3026.0693
FDJ20,OUT017,1998.7256
FDV44,OUT027,4986.3765
FDG02,OUT049,3096.2234
FDA09,OUT013,3127.8967
FDT04,OUT013,509.44055
FDL58,OUT019,678.7424
FDE52,OUT045,1471.5609
FDW12,OUT035,2499.4456
FDL51,OUT017,3566.1162
NCY42,OUT027,3714.318
FDR07,OUT017,1566.7001
FDN40,OUT045,2495.2646
FDB35,OUT027,2483.3477
FDA22,OUT017,2784.5513
NCL06,OUT046,3977.6394
FDI35,OUT013,3123.0432
NCW42,OUT045,3639.0862
NCX06,OUT049,2942.944
FDC37,OUT027,2984.5103
FDZ14,OUT018,1762.3673
DRG49,OUT049,4020.3909
NCG06,OUT045,4230.4404
DRC36,OUT045,2856.5063
FDV21,OUT019,319.8944
FDB53,OUT046,2337.5354
DRP47,OUT019,550.229
FDA14,OUT013,2527.5881
DRC24,OUT035,2582.192
FDW21,OUT018,1425.8732
NCH29,OUT046,1621.2614
FDU58,OUT013,3121.0095
FDY27,OUT017,2978.0261
FDV56,OUT035,1886.6744
FDT59,OUT046,3820.7812
FDB23,OUT046,3466.1907
FDR49,OUT045,690.6642
FDB03,OUT010,563.822
FDN39,OUT045,2704.177
FDX02,OUT027,5914.3203
FDQ16,OUT027,2920.9607
FDU35,OUT018,1348.9889
NCT29,OUT013,1900.7917
FDZ27,OUT046,794.77405
FDN57,OUT017,2315.3008
FDA03,OUT018,2107.0159
FDZ36,OUT045,3080.4321
NCU05,OUT013,1157.19
FDT39,OUT018,2261.3342
