ID,PA,PB,PC,PD,PE,PF,PG
PR40001,63.4542,43.199543,31.97589,25.405048,19.672443,-108.1986,-38.05497
PR40002,93.14686,63.056538,45.60433,35.983154,27.145454,-108.1223,-39.84851
PR40003,59.459248,40.621094,30.143679,24.013622,18.594812,-107.33702,-37.473797
PR40004,88.48417,59.903706,43.476257,34.341896,26.010057,-108.96574,-39.857853
PR40005,70.85604,48.640038,35.35625,28.306637,21.260677,-105.71892,-40.56853
PR40006,90.405426,60.71003,44.24204,35.430264,26.437546,-107.935394,-40.01996
PR40007,122.44108,82.08108,58.946575,46.710064,34.588943,-108.5637,-42.20572
PR40008,105.32154,71.01814,51.039425,40.92402,29.94388,-104.75365,-42.006935
PR40009,106.38186,71.038574,51.480576,41.34806,30.430483,-106.87428,-40.93006
PR40010,111.36203,74.06857,53.619057,41.334084,32.426395,-107.739784,-43.55146
PR40011,89.5697,60.08602,43.833076,35.10456,26.233953,-107.48765,-39.86901
PR40012,104.99011,70.03955,50.707973,39.57988,30.523108,-106.0123,-43.035492
PR40013,102.02126,68.36693,49.404594,39.275852,29.39524,-104.83748,-42.530903
PR40014,98.15861,65.633514,47.72334,38.439117,28.321898,-106.71424,-40.311707
PR40015,93.33241,63.0287,45.535168,36.693085,26.923628,-105.00405,-41.91545
PR40016,104.66541,70.43565,50.80139,40.348515,30.055618,-108.07692,-41.890408
PR40017,54.293114,37.105324,27.770527,22.634602,17.15123,-107.24068,-37.213097
PR40018,75.54641,51.522007,37.49405,30.032494,22.517366,-106.63277,-40.582874
PR40019,134.26628,88.511765,64.09162,48.655186,38.909195,-113.29521,-45.254993
PR40020,98.210205,65.47984,47.73864,38.625782,28.379316,-107.92722,-40.848766
PR40021,80.344475,53.974808,39.69482,31.507416,24.175463,-111.558975,-40.53118
PR40022,132.49452,88.36694,63.521275,49.591843,37.611065,-111.90803,-44.126083
PR40023,94.97426,63.66057,46.39384,36.956924,27.800346,-111.45503,-41.48468
PR40024,86.40237,58.712246,42.47095,34.02381,25.272919,-107.48762,-42.183064
PR40025,74.57705,50.540703,37.048645,29.680538,22.35346,-107.270874,-38.537987
